Name,Quantity,Type
"Regrain Researcher, Dream Gnawing",1,Core
"Regrain Security, Rancor Chain",1,Core
"Regrain Creature, Black Tears Husk Dragon",1,Core
"Savant of Taboo, Zorga ""Fantome""",4,Core
"Creation Demonic Beast, Shadoweater Running Dog",4,Core
"Creation Demonic Beast, Cranial Wring",4,Core
"Regrain Researcher, Bone Flesh Ripper",4,Core
Crimson Moonlight,4,Core
"Regrain Researcher, Hendrina",4,Core
"Creation Demonic Beast, Bite Engraver",2,Core
"Piercing Lover, Margaret",1,Core
"Regrain Researcher, Eddy Probe",2,Core
Regrain Biocreation Research Lab,1,Core
"Demonic Beast Alchemix Body, Ubermensch",1,Core
Protection: Twincast,1,Generic
