Name,Quantity,Type
"Player of the Olifant, Belnista",1,Core
"Player of the Lovely Harp, Adorphas",1,Core
"Player of the Beautiful Chord, Elegenia",1,Core
"Fated One of Sacred Time, Liael=Draconis",4,Core
"Blest Dragon, Gabwelius",4,Core
"Fated One of Time, Liael=Amorta",4,Core
"Knight of Bright Blade, Religial",4,Core
Cerrgaon,4,Generic
"Knight of the Distant Bow, Almov",2,Core
Gragaon,2,Core
The Nebula Knight's Path to Reach for the Stars,3,Generic
Fire Regalis,1,Generic
"Sky-engraving Decree, Urut&Luael",4,Core
