Name,Quantity,Type
"Future Magick Caster, Berucrea",1,Core
"Apprentice Magick Caster, Berucrea",1,Core
"Peerless Magick Caster, Berucrea",1,Core
"Great Magick Caster of Eternity, Berucrea",4,Core
Roaming Prison Dragon,1,Generic
"Mythisch of Eternity, Nilsveiggr",4,Core
Amiable Fairy,2,Core
"Mutual Feelings Maiden, Pense",1,Generic
"Azure Sky White Scale, Aspronia&Sapphira",3,Generic
"Treetop Bow Hunter, Treeta",4,Core
"Conceited Noble, Philander",4,Generic
"Eternal Gran Magick, Segre Ljos",4,Core
Protection: Twincast,1,Generic
"Enhance Magick, Starylking",1,Core
"Growth Magick, Voxtol",1,Core
"Healing Magick, Aexlunus",1,Core
